Id,File No.,Permit Code,Ranking No,New Permit No,APPLICANT NAME,POSTAL ADDRESS,Email,Tell 1,Tell 2,Region,DISTRICT,WARD,STREET/VILLAGE,Source,Source Name,Purpose Description (Water Use),Water Use Category,Approved (l/s),Requested Amount (l/s),Source Capacity (l/s),Amount  returned (l/s),Latitude (Decimal degree),Longitude (Decimal degree),Intake GPS Location Name,Application Date,Permit History,Permit Type,Permit Activity,Issue Date,Permit Duration (Days),Expire Date,Permit Validity Period,Permit Status,Review No,Permit Review 1 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Permit Review 3 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Pangani Mainstem,WUA,
2285,11102075,1110,2075,11102075,Sisters of the Immaculate of Conception of Ivrea,PO BOX 388 TANGA,,2.55754E+11,717662965,Tanga,Muheza,,SONGA KIBAONI,River,Malale ,Institution,Community Water Supply ,1,,,,9428375,460075,SONGA KIBAONI,17-Jan-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Zigi,zigi juu,
3047,11102726,1110,2726,11102726,GRACE KUNDAEL GEORGE ,"P.O.BOX 659, Moshi",grace.george69@yahoo.com,255 652 342 641,,Kilimanjaro,Moshi,,Kiladeda,River,Mama safarani,Small Scale Irrigation,Irrigation,3,,,,3.311361,37.278335,Kiladeda,19-Jan-22,,Water Use Permit,Active,25-May-22,1826.25,25-May-27,829.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikafu,
1421,141332,1110,1332,11101332,C/MAN KILEMA KUSINI WATER USER ASSOCIATION,P.O.Box 65 Himo,kilema.wua@gmail.com,2.55769E+11,,Kilimanjaro,Moshi,,Mananga sub village,River,MANANGA ,CBWSO,Community Water Supply ,9,,,,,,Mananga sub village,12-Dec-13,New,Water Use Permit,Active,8-May-15,1826.25,7-May-20,-1744.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,Rau,
3524,4530,1110,4530,11104530,HTM WATER SUPPLY AND SANITATION AUTHORITY,"P.O.Box 5095, Tanga",,,,Tanga,KOROGWE,,HTM-Mswaha,River,MANDERA,DOMESTIC,DOMESTIC,96.4,,,,94309,4239,HTM-Mswaha,21-Aug-12,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani kati,
1307,1240,1110,1240,11101240,HOLLY GHOST FATHERS ARUSHA,"Box 9, Usa River",,,,Arusha,ARUSHA,Akheri,Nguruma,River,MANIERE ,DOMESTIC & IRRIGATION,Irrigation,7.08,,,,96263,2533,Nguruma,5-Dec-78,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Nduruma,
3368,3364,1110,3364,11103364,GOMBA ESTATE LTD,Box 1179 Arusha,,,,Arusha,ARUSHA,Mlangarini,Manyire,River,MANYERE ,IRRIGATION,Company,28.32,,,,96228,2544,Manyire,8-Nov-99,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,,
144,140224,1110,224,11100224,SIKH TEMPLE ARUSHA,Box 20 Arusha,,,,Arusha,Arusha,Unga Limited,Sikh Union Road,River,Manyire,"Domestic, Irrigation",Irrigation,0.01,,,,96268,2426,Sikh Union Road,2-Aug-97,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
148,140228,1110,228,11100228,AFISA MTENDAJI KIJIJI CHA MANYIRE,P.O.Box  276  Arusha,,,,Arusha,ARUMERU,Mlangarini,Manyire,River,Manyire,Domestic,Village,10,,,,96204,2568,Manyire,10-Sep-97,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
531,140292,1110,292,11100292,ROBERT LESILAL MBISE,P.O.Box 1530 ARUSHA,,,,Arusha,Arumeru,,AKHERI,River,Manyire,Irrigation,Individual,8,,,,,,AKHERI,20-Nov-98,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kikuletwa juu,
848,140666,1110,666,11100666,M/KITI MFEREJI SAMAKIMA,,Box 46 Duluti,,,Arusha,Arumeru,Kikwe,Maniere,River,Manyire,Small Scale Irrigation,Irrigation,0.2,,,,96240,2538,Maniere,16-Aug-04,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kikuletwa juu,
2026,1860,1110,1860,11101860,M/S LEEMA MUNGU FARM LTD,Box 230 Arusha,,,,Arusha,ARUMERU,Poli,NAIC,River,MARANGIMA ,DOMESTIC,Company,14.16,,,,96270,2592,NAIC,13-Sep-77,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
1004,140968,1110,968,11100968,M/KITI KAMATI YA MFEREJI WA MAREE,P.O.Box7858 Moshi,,,,Kilimanjaro,MOSHI,,URU KASKAZINI,River,Maree/Ngomberi,CBWSO,Community Water Supply ,10,,,,,,URU KASKAZINI,16-Sep-09,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,Rau,
1382,141301,1110,1301,11101301,M/KITI MRADI WA MAJI SAFI MKUFI,P.O Box 36 usangi,,2.55785E+11,788654319,Kilimanjaro,MWANGA,,Ndorwe,River,MARENGE ,CBWSO,Community Water Supply ,2,,,,,,Ndorwe,26-Aug-13,New,Water Use Permit,Active,17-Dec-19,1826.25,16-Dec-24,-60.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,,
88,11100098,1110,98,11100098,BOARD OF WATER USER COMETTEE UROKI BOMANG'OMBE,PO BOX 200 HAI,Box 604 Moshi,2.55716E+11,,Kilimanjaro,Hai,Machame Uroki,MARIRE,River,Marire,CBWSO,Community Water Supply ,10,,,,96505,3004,MARIRE,28-Mar-19,Water Right,Water Use Permit,Active,19-Jun-19,365.25,18-Jun-20,-1702.75,Expired,11100098,26-Jul-22,1826.25,26-Jul-27,891.25,Valid,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kware,
222,140742,1110,742,11100742,M/KITI MFEREJI WA MAKIWERU,S.L.P 8663 MOSHI,,,,Kilimanjaro,Hai,Machame Uroki,USWAA,River,Marire,Irrigation,Village,15,,,,96416,3006,USWAA,18-Aug-06,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,sanya,
249,11100867,1110,867,11100867,M/KITI MFEREJI WA MAOSHO,P.O.Box 455 MOSHI,,,,Kilimanjaro,Hai,Machame Uroki,Shari,River,Marire,Large Scale Irrigation,Irrigation,100,,,,96484,3003,Shari,26-Apr-09,Water Right,Water Use Permit,Closed,2-Jan-21,1826.25,2-Jan-26,321.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Weruweru,
266,140925,1110,925,11100925,M/KITI MFEREJI WA KISELU,,,,,Kilimanjaro,Siha,Sanya,Kiselu,River,Marire,Small Scale Irrigation,Irrigation,10,,,,,,Kiselu,1-May-13,Water Right,Water Use Permit,Active,26-Jan-23,1826.25,26-Jan-28,1075.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Sanya,
542,140303,1110,303,11100303,M/S FARMS PRODUCT LTD,Box 695 Moshi,,,,Kilimanjaro,Hai,Machame Uroki,Salali,River,Marire,Irrigation,Company,30,,,,96430,2997,Salali,11-Sep-99,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikafu,
765,140583,1110,583,11100583,M/KITI MFEREJI WA MAKARO,P.O. BOX 455 MOSHI,,,,Kilimanjaro,Hai,,Urori,River,Marire,Irrigation,Village,20,,,,,,Urori,20-Dec-03,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikafu,
887,140706,1110,706,11100706,M/KITI MFEREJI A NGIVA,,,,,Kilimanjaro,Moshi,Masama Mashariki,Masama,River,Marire,Domestic,Village,80,,,,96436,2994,Masama,13-Feb-06,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kikafu,
2593,2337,1110,2337,11102337,MASAMA MOMBO CO-OP SOCIETY LTD,"c/o KNCU,P.O.Box 3032, Moshi",,,,Kilimanjaro,MOSHI,Masama Mashariki,Salali,River,MARIRE ,IRRIGATION,Company,2.6,,,,96436,2995,Salali,6-Apr-65,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikafu,
1750,1628,1110,1628,11101628,THE ROMAN CATHOLIC DIOCESE OF OF MOSHI FOR THWEE MANDAKA GIRLS SCHOOL KILEMA MOSHI,"Box 107, Moshi",,,,Kilimanjaro,MOSHI,Kilema chini,Kilema chini/Mulo,River,MARUMA ,DOMESTIC & IRRIGATION,Irrigation,0.74,,,,96285,3344,Kilema chini/Mulo,30-Jun-60,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,himo,
390,140488,1110,488,11100488,KILIWATER COMPANY LTD,Box 244 Mkuu,,,,Kilimanjaro,Rombo,Katangara,Marwe,River,Marwe,Urban Water Utilities Class A,Community Water Supply ,6.4,,,,96537,3428,Marwe,18-Jul-02,Water Right,Water Use Permit,Active,25-May-22,1826.25,25-May-27,829.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,ruvu ya juu,
3275,3037,1183,3037,11833037,VICAR GENERAL DIOCESE OF MOSHI,,,,,Kilimanjaro,MOSHI,,,River,MARWE ,DOMESTIC,DOMESTIC,0.0484,,,,,,0,28-Nov-35,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,,
331,140064,1110,64,11100064,YOHANA NYANGASA,P.O.Box 337 Korogwe,,,,Tanga,KOROGWE,,Welei,River,Mashindei,Irrigation,Individual,8,,,,94378,4338,Welei,22-Oct-91,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,Pangani Kati,
1514,1416,1110,1416,11101416,U.M.C.A ZANZIBAR DIOCESE,"P.O.Box 33, Korogwe",,,,Tanga,KOROGWE,,Lewa,River,MASHINDEI ,IRRIGATION,Irrigation,2.82,,,,94375,4343,Lewa,8-Jul-64,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani kati,
2929,11102625,1110,2625,11102625,MYAMBA SDA CHURCH,272 SAME,,000 712 213 180,,KILIMANJARO,SAME,,KAMBENI,River,MAYENI,Institution,Community Water Supply ,,,,,,,KAMBENI,7-Apr-21,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,mkomazi,saseni,
2887,11102584,1110,2584,11102584,RUWASA-Moshi,,,,,Kilimanjaro,Moshi,,Mbahe,River,Mbahe,CBWSO,Community Water Supply ,3,,,,,,Mbahe,29-Apr-21,New,Water Use Permit,Active,5-May-21,1826.25,5-May-26,444.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,rau,
3457,4025,1110,4025,11104025,THE DISTRICT DEVELOPMENT DIRECTOR,Box 1 Same,,,,Kilimanjaro,SAME,Shighatini,Mamba,River,MBAKWE ,DOMESTIC,Institution,1.3,,,,95926,3486,Mamba,20-Jun-74,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani juu,
2012,11101844,1110,1844,11101844,PAROKIA YA SAKARANI,P.O.Box 40 SONI,,2.55785E+11,,Tanga,Lushoto,,SONI,River,MBELEI ,Institution,Community Water Supply ,5,,,,,,SONI,1-Dec-17,New,Water Use Permit,Active,17-Dec-19,1826.25,16-Dec-24,-60.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Mkomazi,,
27,140026,1110,26,11100026,KIJIJI CHA NKOARANGA,Box 172 Usa River,,,,Arusha,Arumeru,Nkoaranga,Sura,River,Mbembe,"Domestic, LIVESTOK",Village,5.43,,,,96330,2555,Sura,4-Oct-91,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Nduruma,
530,140291,1110,291,11100291,DIOCESE OF ARUSHA,P.O.Box 782 Arusha,,,,Arusha,Arumeru,Poli,Poli,River,Mbembe,Fish Farming,Institution,7.2,,,,96294,2558,Poli,17-Apr-98,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kikuletwa juu,
2617,11102355,1110,2355,11102355,SISTER OF OUR LADY OF KILIMANJARO,PO BOX 1169 ARUSHA,tumainisisters@gmail.com,2.55769E+11,,Arusha,ARUMERU,Poli,Njoro,River,Mbembe,Large Scale Irrigation,Irrigation,37,,,,,,Njoro,30-May-18,New,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
2507,2268,1110,2268,11102268,POLI MERU CO-OP SOCIETY,Box 15 Usa River,,,,Arusha,ARUSHA,Nkoaranga,Poli,RIVER,MBEMBE ,IRRIGATION,Individual,2.36,,,,96300,2566,Poli,22-Jan-62,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
3374,3378,1110,3378,11103378,DISTRICT DEVELOPMENT DIRECTOR,Box 3083 Arusha,,,,Arusha,ARUSHA,Nkoaranga,Poli,River,MBEMBE ,DOMESTIC,Individual,2.6,,,,96300,2566,Poli,19-Aug-94,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
3187,11102852,1110,2852,11102852,SAINT RITA OF CASCIA,,,,,KILIMANJARO,MOSHI,,,River,Mboiya,,,,,,,,,0,30-Oct-22,New,,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,rau,
3561,4765,1110,4765,11104765,DISTRICT EXECUTIVE DIRECTOR,"P.O.Box 532, Korogwe",,,,Tanga,TANGA,,Bombo-Kize-Mailitano,River,MBOKOI ,IRRIGATION,IRRIGATION,9.7,,,,94597,4241,Bombo-Kize-Mailitano,12-Aug-86,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,zigi,zigi,
1276,1211,1110,1211,11101211,MASAMA MULA CO-OP SOCIETY,"c/o KNCU,P.O.Box 3032, Moshi",,,,Kilimanjaro,HAI,Masama Mashariki,Nore,River,MBOSHO FURROW,IRRIGATION,Company,0.08,,,,96500,2973,Nore,8-Mar-76,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,,
2939,2635,1110,2635,11102635,TANZANIA TEA AUTHORITY,"P.O.Box 2663, Dar es Salaam",,,,Tanga,LUSHOTO,,Mponde,RIVER,MBUGUI ,DOMESTIC & INDUSTRIAL,Irrigation,1.08,,,,94588,4362,Mponde,4-Sep-71,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Umba,umba,
1961,11101797,1110,1797,11101797,KIMANI  P  LAIZER,P.O.BOX 8079 Moshi,,785521815,,Kilimanjaro,HAI,,Kawaya,River,MBUGUNI,Small Scale Irrigation,Irrigation,8,,,,,,Kawaya,10-Nov-17,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,nduruma,
319,140930,1110,930,11100930,M/KITI MFEREJI WA MBULA,P.O.BOX 606 GONJA MAHORE,,653970708,919906577,Kilimanjaro,Same,,VUJE,River,Mbula,Small Scale Irrigation,Irrigation,15,,,,,,VUJE,4-Sep-15,Water Right,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani ya juu,
2970,2661,1110,2661,11102661,TEMBO CLIPBOARD LTD (N.D.C),"P.O.Box 23, Lushoto",,,,Tanga,KOROGWE,Mazinde,Mkumbara,RIVER,MBUNGU ,DOMESTIC & INDUSTRIAL,Irrigation,3.2,,,,94759,4098,Mkumbara,9-Oct-74,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,mkomazi,,
3599,58,1110,58,111058,KILIWATER COMPANY LTD,,,,,Kilimanjaro,ROMBO,,,River,MDIMIRA ,DOMESTIC,DOMESTIC,1.9,,,,,,0,12-Jul-02,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,,
3517,4461,1110,4461,11104461,DDD HAI,"P.O.Box 85, Sanya Juu",,,,Kilimanjaro,HAI,,Nore,River,MDISHI ,DOMESTIC,Village,20.63,,,,96530,2964,Nore,16-Jul-77,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,sanya,
3494,4259,1110,4259,11104259,DISTRICT DEVELOPMENT DIRECTOR TANGA,PO BOX 107 TANGA,,,,Tanga,TANGA,,,River,MEMBENI ,DOMESTIC,DOMESTIC,9.490740741,,,,,,0,28-Jul-77,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,zigi,zigi,
1624,1518,1110,1518,11101518,DR. A PHONES,"Box 98, Arusha",,,,Arusha,ARUMERU,,Ngare Mtoni,River,MERU ,IRRIGATION,Irrigation,14.16,,,,,,Ngare Mtoni,1-Feb-68,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,kikuletwa,themi,
1774,1650,1110,1650,11101650,DAVID ROBERT MAREALLE,"c/oP.O.Box 3032, Moshi",,,,Kilimanjaro,HAI,Machame Kaskazini,Nshara,River,MERU ,DOMESTIC,Domestic,0.03,,,,96366,3050,Nshara,5-Feb-00,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikafu,
2618,11102356,1110,2356,11102356,JANSON YONAZI,PO BOX 10 HEDARU,,2.55712E+11,,Kilimanjaro,SAME,,GUNDUSINE,River,Mgambo,Small Scale Irrigation,Irrigation,0.3,,,,9504779,381980,GUNDUSINE,1-Oct-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,,
2645,11102376,1110,2376,11102376,Kikundi cha Umwagiliaji Mbukwe,P.O.BOX 26 HEDARU,,2.55654E+11,,Kilimanjaro,SAME,,GUNDU-SINE,River,Mgambo,CBWSO,Community Water Supply ,3,,,,381655,9504702,GUNDU-SINE,1-Oct-19,New,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,,
3151,11102821,1110,2821,11102821,FURAHINI  KIGUNDU,P.O.BOX 31 GUNDUSINE- HEDURU,,712438257,715841332,KILIMANJARO,SAME,,GUNDUSINE,River,MGAMBO RIVER,DOMESTIC AND IRIGATION,,,,,,,,GUNDUSINE,10-Aug-22,New,,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani juu,
2609,11102351,1110,2351,11102351,MKUMBAVANA GROUP,PO BOX 35 MWANGA,,755810373,752493548,Kilimanjaro,MWANGA,,MIKUYUNI,River,MIKUYUNI SPRING,Small Scale Irrigation,Irrigation,1,,,,,,MIKUYUNI,8-Oct-19,New,Application,Closed,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,himo,
2123,11101940,1110,1940,11101940,MKOMAZI IRRIGATION SCHEME,P.O.Box 70 Mombo,,2.55714E+11,,Tanga,Korogwe,,Mkomazi,River,MKOMAZI,Large Scale Irrigation,Irrigation,700,,,,,9487920,Mkomazi,18-Jun-18,New,Water Use Permit,Active,17-Dec-19,1826.25,16-Dec-24,-60.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani kati,
2042,1874,1110,1874,11101874,TANZANIA SISAL AUTHORITY,"Box 277, Tanga",,,,Tanga,KOROGWE,Makuyuni,Gomba,River,MKOMAZI ,IRRIGATION,Irrigation,21.6,,,,94443,4206,Gomba,15-Apr-91,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Mkomazi,,
3523,4527,1110,4527,11104527,DISTRICT DEVELOPMENT DIRECTOR,"Box 532, Korogwe",,,,Tanga,KOROGWE,Mkomazi,Makayo,River,MKOMAZI ,DOMESTIC & IRRIGATION,Irrigation,142.77,,,,94854,3969,Makayo,26-Jan-79,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani kati,
3563,4781,1110,4781,11104781,MR. ISA SAID,"Box 25, Kihurio Same",,,,Kilimanjaro,SAME,Kihurio,Kihurio,River,MKOMAZI ,IRRIGATION,Individual,5.67,,,,95026,3986,Kihurio,18-Oct-84,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani juu,
3565,4792,1110,4792,11104792,TEMBO CLIPBOARD LTD (N.D.C),"Private Bag, Mombo",,,,Tanga,KOROGWE,Mazinde,Mkumbara,River,MKOMAZI ,DOMESTIC & INDUSTRIAL,Irrigation,2,,,,94763,4105,Mkumbara,9-Jul-86,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani kati,
2872,11102569,1110,2569,11102569,KIKUNDI CHA MAGANDA,"P.O. BOX 272, Mamba",,672759924,,Kilimanjaro,Same,,Sambweni,River,Mkoyo,Small Scale Irrigation,Irrigation,1,,,,,,Sambweni,30-Dec-20,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,,
2873,11102570,1110,2570,11102570,KIKUNDI CHAGO KITALA,P.O. BOX 275 ,,684869081,,Kilimanjaro,Same,,Sambweni,River,Mkoyo,Small Scale Irrigation,Irrigation,1,,,,,,Sambweni,21-Dec-20,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,,
